idMembre,nom,idCategorie
"1","Essai10_Nom1","User"
"2","Essai10_Nom2","User"
"3","Essai10_Nom3","User"
"4","Essai10_Nom4","User"
"5","Essai10_Nom5","User"
"6","Essai10_Nom6","User"
"7","Essai10_Nom7","User"
"8","Essai10_Nom8","User"
"9","Essai10_Nom9","User"
"10","Essai10_Nom10","User"
"11","Essai10_Nom11","User"
"12","Essai10_Nom12","User"
"13","Essai10_Nom13","User"
"14","Essai10_Nom14","User"
"15","Essai10_Nom15","User"
"16","Essai10_Nom16","User"
"17","Essai10_Nom17","User"
"18","Essai10_Nom18","User"
"19","Essai10_Nom19","User"
"20","Essai10_Nom20","User"
"21","Essai10_Nom21","User"
"22","Essai10_Nom22","User"
"23","Essai10_Nom23","User"
"24","Essai10_Nom24","User"
"25","Essai10_Nom25","User"
"26","Essai10_Nom26","User"
"27","Essai10_Nom27","User"
"28","Essai10_Nom28","User"
"29","Essai10_Nom29","User"
"30","Essai10_Nom30","User"
"31","Essai10_Nom31","User"
"32","Essai10_Nom32","User"
"33","Essai10_Nom33","User"
"34","Essai10_Nom34","User"
"35","Essai10_Nom35","User"
"36","Essai10_Nom36","User"
"37","Essai10_Nom37","User"
"38","Essai10_Nom38","User"
"39","Essai10_Nom39","User"
"40","Essai10_Nom40","User"
"41","Essai10_Nom41","User"
"42","Essai10_Nom42","User"
"43","Essai10_Nom43","User"
"44","Essai10_Nom44","User"
"45","Essai10_Nom45","User"
"46","Essai10_Nom46","User"
"47","Essai10_Nom47","User"
"48","Essai10_Nom48","User"
"49","Essai10_Nom49","User"
"50","Essai10_Nom50","User"
"51","Essai10_Nom51","User"
"52","Essai10_Nom52","User"
"53","Essai10_Nom53","User"
"54","Essai10_Nom54","User"
"55","Essai10_Nom55","User"
"56","Essai10_Nom56","User"
"57","Essai10_Nom57","User"
"58","Essai10_Nom58","User"
"59","Essai10_Nom59","User"
"60","Essai10_Nom60","User"
"61","Essai10_Nom61","User"
"62","Essai10_Nom62","User"
"63","Essai10_Nom63","User"
"64","Essai10_Nom64","User"
"65","Essai10_Nom65","User"
"66","Essai10_Nom66","User"
"67","Essai10_Nom67","User"
"68","Essai10_Nom68","User"
"69","Essai10_Nom69","User"
"70","Essai10_Nom70","User"
"71","Essai10_Nom71","User"
"72","Essai10_Nom72","User"
"73","Essai10_Nom73","User"
"74","Essai10_Nom74","User"
"75","Essai10_Nom75","User"
"76","Essai10_Nom76","User"
"77","Essai10_Nom77","User"
"78","Essai10_Nom78","User"
"79","Essai10_Nom79","User"
"80","Essai10_Nom80","User"
"81","Essai10_Nom81","User"
"82","Essai10_Nom82","User"
"83","Essai10_Nom83","User"
"84","Essai10_Nom84","User"
"85","Essai10_Nom85","User"
"86","Essai10_Nom86","User"
"87","Essai10_Nom87","User"
"88","Essai10_Nom88","User"
"89","Essai10_Nom89","User"
"90","Essai10_Nom90","User"
"91","Essai10_Nom91","User"
"92","Essai10_Nom92","User"
"93","Essai10_Nom93","User"
"94","Essai10_Nom94","User"
"95","Essai10_Nom95","User"
"96","Essai10_Nom96","User"
"97","Essai10_Nom97","User"
"98","Essai10_Nom98","User"
"99","Essai10_Nom99","User"
"100","Essai10_Nom100","User"
"101","Essai10_Nom101","User"
"102","Essai10_Nom102","User"
"103","Essai10_Nom103","User"
"104","Essai10_Nom104","User"
