idTransaction,dateTransaction,montantTransaction,etat,idBeneficiaire,idFournisseur
"1","2026-01-13 11:33:09","4","1","2557","578"
"2","2026-01-13 11:33:09","5","1","2795","907"
"3","2026-01-13 11:33:09","10","1","1677","978"
"4","2026-01-13 11:33:09","7","1","2190","1893"
"5","2026-01-13 11:33:09","7","1","1958","71"
"6","2026-01-13 11:33:09","10","1","855","1030"
"7","2026-01-13 11:33:09","9","1","1341","589"
"8","2026-01-13 11:33:09","3","1","753","1921"
"9","2026-01-13 11:33:09","9","0","2809","1136"
"10","2026-01-13 11:33:09","4","1","2521","704"
"11","2026-01-13 11:33:09","3","1","498","2802"
"12","2026-01-13 11:33:09","7","1","3263","498"
"13","2026-01-13 11:33:09","9","0","1995","580"
"14","2026-01-13 11:33:09","6","1","51","1780"
"15","2026-01-13 11:33:09","6","1","2374","37"
"16","2026-01-13 11:33:09","2","1","143","1781"
"17","2026-01-13 11:33:09","1","1","3101","1055"
"18","2026-01-13 11:33:09","5","1","2168","796"
"19","2026-01-13 11:33:09","5","1","2453","677"
"20","2026-01-13 11:33:09","1","1","2396","1030"
"21","2026-01-13 11:33:09","5","1","3032","1677"
"22","2026-01-13 11:33:09","8","1","2514","1677"
"23","2026-01-13 11:33:09","9","0","60","2745"
"24","2026-01-13 11:33:09","1","1","137","2223"
"25","2026-01-13 11:33:09","4","1","2140","147"
"26","2026-01-13 11:33:09","8","0","2748","320"
"27","2026-01-13 11:33:09","6","1","2381","1102"
"28","2026-01-13 11:33:09","9","0","826","1912"
"29","2026-01-13 11:33:09","7","1","422","3112"
"30","2026-01-13 11:33:09","4","1","1108","2478"
"31","2026-01-13 11:33:09","8","1","2325","1240"
"32","2026-01-13 11:33:09","9","1","1036","1284"
"33","2026-01-13 11:33:09","5","1","286","3293"
"34","2026-01-13 11:33:09","1","1","614","1941"
"35","2026-01-13 11:33:09","10","0","569","2347"
"36","2026-01-13 11:33:09","10","1","2042","936"
"37","2026-01-13 11:33:09","5","1","833","933"
"38","2026-01-13 11:33:09","7","1","260","584"
"39","2026-01-13 11:33:09","1","1","1618","1268"
"40","2026-01-13 11:33:09","9","1","338","812"
